;Rua;Bairro;Cidade;area_m2;quartos;banheiros;vagas;price
0;Avenida Itacira, 255 ; Planalto Paulista; São Paulo ;1000;4;8;6;R$ 7.000.000
1;Rua Aurelia Perez Alvarez, 42 ; Jardim dos Estados; São Paulo ;469-524;3-6;3-6;4;R$ 3.700.000
2;Rua Alba Valdez ; Jardim Reimberg; São Paulo ;125;4;3;2;R$ 380.000
3;Jardim Morumbi, São Paulo ; SP;;310;3;2;4;R$ 685.000
4;Rua Tobias Barreto, 195 ; Mooca; São Paulo ;100;3;2;2;R$ 540.000
5;Rua Graham Bell ; Santo Amaro; São Paulo ;440;4;4;6;R$ 1.980.000
6;Rua Francisco Paulo, 31 ; Cidade Mãe do Céu; São Paulo ;145;4;4;2;R$ 850.000
7;Rua Guilherme Valente, 150 ; Jardim Vergueiro; São Paulo ;150;2;2;2;R$ 450.000
8;Rua Sagrada Família, 8 ; Jardim Benfica; São Paulo ;46-50;2;1;1;R$ 199.900
9;Rua Tapaji ; Vila Alpina; São Paulo ;114;3;3;2;R$ 585.000
10;Rua Vigário João Álvares, 66 ; Vila Monumento; São Paulo ;261;4;4;3;R$ 700.000
11;Jardim Luzitânia, São Paulo ; SP;;436;4;3;3;R$ 15.000
12;Rua Tuim, 449 ; Vila Uberabinha; São Paulo ;193;3;3;2;R$ 2.500.000
13;Rua Antônio Pereira Mendes, 98 ; Jardim Prudência; São Paulo ;251;3;5;4;R$ 1.700.000
14;Rua João Antunes Carvalho, 75 ; Lauzane Paulista; São Paulo ;300;4;5;4;R$ 1.150.000
15;Rua Rúben Dario Almonacid, 321 ; São Paulo II; Cotia ;500;3;5;6;R$ 1.999.000
16;Rua Timbé ; Jardim Santa Maria; São Paulo ;135;3;3;2;R$ 550.000
17;Rua João Tauler ; Vila Nova; São Paulo ;180;4;2;4;R$ 420.000
18;Rua Alice Garcia Vega, 345 ; Itaberaba; São Paulo ;300;3;5;4;R$ 2.232.000
19;Rua Graham Bell, 332 ; Santo Amaro; São Paulo ;772;7;7;6;R$ 2.700.000
20;Avenida Antônio Joaquim de Moura Andrade, 294 ; Vila Nova Conceição; São Paulo ;605;3;3;4;R$ 4.190.000
21;Rua Marcos Fernandes, 1039 ; Jardim da Saúde; São Paulo ;110;3;2;5;R$ 860.000
22;Estrada Tenente Marques, 4900 ; Vila Poupança; Santana de Parnaíba ;66-95;2-3;2;1-2;R$ 375.000
23;Rua José Leão dos Santos, 606 ; Jardim Santo Antônio; São Paulo ;250;4;4;4;R$ 650.000
24;Rua Jaime Pinto Ferreira, 93 ; Vila Mazzei; São Paulo ;120;2;1;1;R$ 490.000
25;Rua Aldo de Azevedo ; Vila Madalena; São Paulo ;170;2;2;1;R$ 1.485.000
26;Rua Antônio Wey, 161 ; Jardim Ivana; São Paulo ;250;3;1;5;R$ 650.000
27;Rua João Francisco de Moura, 111 ; Vila Campo Grande; São Paulo ;110;3;3;2;R$ 550.000
28;Rua Serra de Botucatu, 993 ; Vila Gomes Cardim; São Paulo ;120;3;2;2;R$ 1.100.000
29;Rua Andrade Neves, 37 ; Bela Aliança; São Paulo ;502;4;6;4;R$ 2.985.000
30;Rua Japeacaba ; Vila Albertina; São Paulo ;268;3;6;4;R$ 1.700.000
31;Rua Senador Vergueiro ; Santo Amaro; São Paulo ;355;4;7;4;R$ 3.100.000
32;Rua dos Plátanos ; Cidade Jardim; São Paulo ;1195;4;4;6;R$ 8.700.000
33;Parque da Lapa, São Paulo ; SP;;220;4;4;3;R$ 849.000
34;Rua Domingos Menezes, 179 ; Vila Libanesa; São Paulo ;320;5;4;6;R$ 890.000
35;Rua Manuel Monteiro ; Cidade Domitila; São Paulo ;180;3;3;4;R$ 550.000
36;Rua Serra da Sentinela ; Vila Nova Savoia; São Paulo ;325;4;6;3;R$ 1.650.000
37;Avenida Maria Estela ; Jardim Maria Estela; São Paulo ;110;2;1;1;R$ 445.000
